formula,name,category,information,Reference,Hydrogen_storage,optimum_Hydrogen_storage,method,image
Fe3[(Mn4Cl)3(BTT)8]2.FeCl2,Fe3[(Mn4Cl)3(BTT)8]2.FeCl2,"Porous material, physical forces, single-crystal",,"1. J. Am. Chem. Soc. 2007, 129, 11172-11176.",2.21%,2.21,Solvothermal,[]
Co3[(Mn4Cl)3(BTT)8]2.1.7CoCl2,Co3[(Mn4Cl)3(BTT)8]2.1.7CoCl2,"Porous material, physical forces, single-crystal",,"1. J. Am. Chem. Soc. 2007, 129, 11172-11176.",2.12%,2.12,Solvothermal,[]
Mn3[(Mn4Cl)3(BTT)8]2.20CH3OH,Mn3[(Mn4Cl)3(BTT)8]2.20CH3OH,"Porous material, physical forces, single-crystal","Cubic, (Pm-3m) a = 19.009 (1) ?, alpha = 90 deg. b = 19.009 (1) ?, beta = 90 deg. c = 19.009 (1) ?, gamma = 90 deg.","1. J. Am. Chem. Soc. 2006, 128, 16876-16883.","77K, 1.2 bar: 2.2%; 77K, 50 bar: 5.1% (excess), 90 bar: 6.9% (total); 298K, 90 bar: 0.95% (excess), 1.5% (total).",5.1,Solvothermal,['http://www.hydrsm.csdb.cn/chuqing/00091g1.png']
Cu3(TATB)2,PCN-6',"Porous material, physical forces, single-crystal","Cubic, (Fm-3m) a = 46.636(5) ?, alpha = 90 deg. b = 46.636(5) ?, beta = 90 deg. c = 46.636(5) ?, gamma = 90 deg.","1. J. Am. Chem. Soc. 2007, 129, 1858-1859.","77K, 1 bar: 1.35%.",1.35,Solovthremal,['http://www.hydrsm.csdb.cn/chuqing/00110g1.png']
Cu3(TATB)2,PCN-6,"Porous material, physical forces, single-crystal","Trigonal, (R-3m) a = 32.9680(1) ?, alpha = 90 deg. b = 32.9680(1) ?, beta = 90 deg. c = 80.783(5) ?, gamma = 120 deg.","1. J. Am. Chem. Soc. 2007, 129, 1858-1859.","77K, 1 bar: 1.9%.",1.9,Solovthremal,['http://www.hydrsm.csdb.cn/chuqing/00109g1.png']
H2[Ni3O(H2O)3(TATB)2].5DMF.2H2O,PCN-5,"Porous material, physical forces, single-crystal","Monoclinic, (C2/m) a = 30.175(3) ?, alpha = 90 deg. b = 21.108(3) ?, beta = 123.188 deg. c = 16.762(2) ?, gamma = 120 deg.","1. Inorg. Chem. 2007, 46, 3432-3434.","77K, 1 bar: 0.63%.",0.63,Solovthremal,"['http://www.hydrsm.csdb.cn/chuqing/00108g1.png', 'http://www.hydrsm.csdb.cn/chuqing/00108g2.png']"
Ni3(btc)2(3-pic)6,Ni3(btc)2(3-pic)6,"Porous material, physical forces, single-crystal","Cubic, (I4132) a = 28.1350(4) ?, alpha = 90 deg. b = 28.1350(4) ?, beta = 90 deg. c = 28.1350(4) ?, gamma = 90 deg.","1. Science 2004, 306, 1012-1016. 2. J. Am. Chem. Soc. 2004, 126, 6106-6114.","77K, 1 bar: 2.6%.",2.6,Solvent diffusion,['http://www.hydrsm.csdb.cn/chuqing/00106g1.png']
Ni2(dhtp)(H2O)2.8H2O,Ni2(dhtp)(H2O)2.8H2O,"Porous material, physical forces, single-crystal","Trigonal, (R-3) a = 25.9783(7) ?, alpha = 90 deg. b = 25.9783(7) ?, beta = 90 deg. c = 6.6883(2) ?, gamma = 120 deg.","1. Chem. Commun., 2006, 959-961.","77K, 70 bar: 1.8%; 298K, 65 bar: 0.3%.",1.8,Solovthremal,['http://www.hydrsm.csdb.cn/chuqing/00107g1.png']
NaNi3(OH)(SIP)2,NaNi3(OH)(SIP)2,"Porous material, physical forces, single-crystal","Triclinic, (P-1) a = 9.833(2) ?, alpha = 74.884(3) deg. b = 11.107(2) ?, beta = 89.323(4) deg. c = 12.615(3) ?, gamma = 69.755(3) deg.","1. J. Am. Chem. Soc. 2006, 128, 16846-16850. 2. Chem. Commun., 2004, 214 8-2149.","77K, 1 bar: 0.94%",0.94,Hydrothermal,['http://www.hydrsm.csdb.cn/chuqing/00102g1.png']
"Ni2(4,4'-bipy)3(NO3)4(MeOH)","Ni2(4,4'-bipy)3(NO3)4","Porous material, physical forces, single-crystal",,"1. Science 2004, 306, 1012-1016.","77K, 1 bar: 0.987%.",0.987,Solvent diffusion,['http://www.hydrsm.csdb.cn/chuqing/00105g1.png']
Ni(pyz)[Ni(CN)4],Ni(pyz)[Ni(CN)4],"Porous material, physical forces, single-crystal","Tetragonal a = 7.15 ?, alpha = 90 deg. b = 7.15 ?, beta = 90 deg. c = 7.0 ?, gamma = 90 deg.","1. J. Phys. Chem. C 2008, 112, 7079-7083.","77K, 1 bar: 1.76%",1.76,Solvothermal,['http://www.hydrsm.csdb.cn/chuqing/00101g1.png']
"Ni2(4,4'-bipy)3(NO3)4(EtOH)","Ni2(4,4'-bipy)3(NO3)4","Porous material, physical forces, single-crystal","Orthorhombic, (Ccca), a = 11.883(1) ?, alpha = 90 deg. b = 19.049(1) ?, beta = 90 deg. c = 17.415(1) ?, gamma = 90 deg.","1. Science 2004, 306, 1012-1016. 2. Chem. Commun., 1999, 375-376.","77K, 1 bar: 0.653%.",0.653,Solvent diffusion,['http://www.hydrsm.csdb.cn/chuqing/00104g1.png']
[Ni(cyclam)(bpydc)].5H2O,[Ni(cyclam)(bpydc)].5H2O,"Porous material, physical forces, single-crystal","Trigonal, (P-3) a = 26.143(1)?, alpha = 90 deg. b = 26.143(1) ?, beta = 90 deg. c = 11.3245(3) ?, gamma = 120 deg.","1. Angew. Chem. Int. Ed. 2004, 43, 2798-2801.","77K, 1 bar: 1.1%",1.1,Hydrothermal,['http://www.hydrsm.csdb.cn/chuqing/00103g1.png']
[Mg3(O2CH)6?Et2O],[Mg3(O2CH)6?Et2O],"Porous material, physical forces, single-crystal","Monoclinic, (P21/c) a = 11.380(4) ?, alpha = 90 deg. b = 9.841(3) ?, beta = 91.429(2) deg. c = 14.506(5) ?, gamma = 90 deg.","1. Inorg. Chem. 2006, 45, 5521-5528.","77K, 1 bar: 0.6%.",0.6,Solvothermal,['http://www.hydrsm.csdb.cn/chuqing/00069g1.png']
Cu2(C2h-tcppda),Cu2(C2h-tcppda),"Porous material, physical forces, single-crystal","Orthorhombic, (Imma) a = 23.712(4) ?, alpha = 90 deg. b = 27.877(4) ?, beta = 90 deg. c = 15.376(2) ?, gamma = 90 deg.","1. Chem. Commun., 2005, 5447-5449.","77K, 1 atm: 1.2%",1.2,Solvothermal,['http://www.hydrsm.csdb.cn/chuqing/00042g1.png']
[Mg3(O2CH)6?OCMe2],[Mg3(O2CH)6?OCMe2],"Porous material, physical forces, single-crystal","Monoclinic, (P21/c) a = 11.2790(8) ?, alpha = 90 deg. b = 9.8339(7) ?, beta = 91.565(4) deg. c = 14.7660(11) ?, gamma = 90 deg.","1. Inorg. Chem. 2006, 45, 5521-5528.","77K, 1 bar: 0.6%.",0.6,Solvothermal,['http://www.hydrsm.csdb.cn/chuqing/00070g1.png']
?-[Mg3(O2CH)6],?-[Mg3(O2CH)6],"Porous material, physical forces, single-crystal","Monoclinic, (P21/c) a = 11.324(2) ?, alpha = 90 deg. b = 9.847(2) ?, beta = 91.150(3) deg. c = 14.623(3) ?, gamma = 90 deg.","1. Inorg. Chem. 2006, 45, 5521-5528.","77K, 1 bar: 0.6%.",0.6,Solvothermal,['http://www.hydrsm.csdb.cn/chuqing/00066g1.png']
[Ni8(5-bbdc)6(?3-OH)4],MAMS-1,"Porous material, physical forces, single-crystal","Monoclinic, (P21/c) a = 10.9685(2) ?, alpha = 90 deg. b = 11.308(2) ?, beta = 96.781(3) deg. c = 38.405(7) ?, gamma = 90 deg.","1. Angew. Chem. Int. Ed. 2007, 46, 2458-2462.","77K, 1 bar: 0.66% (activated at 100?)",0.66,Solvothermal,"['http://www.hydrsm.csdb.cn/chuqing/00065g1.png', 'http://www.hydrsm.csdb.cn/chuqing/00065g2.png']"
[Mg3(O2CH)6?THF],[Mg3(O2CH)6?THF],"Porous material, physical forces, single-crystal","Monoclinic, (P21/c) a = 11.307(18) ?, alpha = 90 deg. b = 9.857(16) ?, beta = 91.371(3) deg. c = 14.729(3) ?, gamma = 90 deg.","1. Inorg. Chem. 2006, 45, 5521-5528.","77K, 1 bar: 0.6%.",0.6,Solvothermal,['http://www.hydrsm.csdb.cn/chuqing/00068g1.png']
[Mg3(O2CH)6?DMF],[Mg3(O2CH)6?DMF],"Porous material, physical forces, single-crystal","Monoclinic, (P21/c) a = 11.4007(6) ?, alpha = 90 deg. b = 9.9047(4)?, beta = 91.317(2) deg. c = 14.5357(6)?, gamma = 90 deg.","1. Inorg. Chem. 2006, 45, 5521-5528.","77K, 1 bar: 0.6%.",0.6,Solvothermal,['http://www.hydrsm.csdb.cn/chuqing/00067g1.png']
[Cd3(bpdc)3-(dmf)].5dmf.18H2O,JUC-48,"Porous material, physical forces, single-crystal","Orthorhombic, (Pbcn) a = 24.498(5) ?, alpha = 90 deg. b = 45.853(9) ?, beta = 90 deg. c = 9.0389(18) ?, gamma = 90 deg.","1. Angew. Chem. Int. Ed. 2007, 46, 6638-6642.","77K, 40 bar: 2.8%; 298K, 100 bar: 1.1%.",2.8,Solvothermal,['http://www.hydrsm.csdb.cn/chuqing/00064g1.png']
[In3O(C8O4H4)3(H2O)1.5(C3N2H3)(C3N2H4)0.5]. DMF.0.5(CH3CN),[In3O(C8O4H4)3(H2O)1.5(C3N2H3)(C3N2H4)0.5]. DMF.0.5(CH3CN),"Porous material, physical forces, single-crystal","Cubic, (Pa-3) a = 19.5514(9) ?, alpha = 90 deg. b = 19.5514(9) ?, beta = 90 deg. c = 19.5514(9) ?, gamma = 90 deg.","1. Angew. Chem. Int. Ed. 2007, 46, 3278-3283.",,,Solvothermal,['http://www.hydrsm.csdb.cn/chuqing/00063g1.png']
Cu3(btc)2,HKUST-1,"Porous material, physical forces, single-crystal",,"1. Adv. Funct. Mater. 2006, 16, 520-524; 2. J. Am. Chem. Soc. 2007, 129, 1203-1209;","77K, 50 bar: 3.6%; 298 K, 65 bar: 0.35%; 77K, 1 bar: 2.27%; 77 K, 10 bar: 3.6%;",3.6,Solvothermal,['http://www.hydrsm.csdb.cn/chuqing/00061g1.png']
[In3O(C16N2O8H6)1.5(H2O)3](H2O)3(NO3),[In3O(C16N2O8H6)1.5(H2O)3](H2O)3(NO3),"Porous material, physical forces, single-crystal","Cubic, (P-43n) a = 22.4567(11) ?, alpha = 90 deg. b = 22.4567(11) ?, beta = 90 deg. c = 22.4567(11) ?, gamma = 90 deg.","1. Angew. Chem. Int. Ed. 2007, 46, 3278-3283.","77K, 1.2 bar: 2.61%.",2.61,Solvothermal,['http://www.hydrsm.csdb.cn/chuqing/00062g1.png']
Cu(dccptp)(NO3),Cu(dccptp)(NO3),"Porous material, physical forces, single-crystal","Monoclinic, (C2/c) a = 12.2342(11) ?, alpha = 90 deg. b = 25.093(2) ?, beta = 104.225(2) deg. c = 19.6064(18) ?, gamma = 90 deg.","1. Chem. Commun., 2008, 359-361.","77K, 1 atm: 1.34%; 77K, 20 bar: 1.91%",1.91,Solvothermal,['http://www.hydrsm.csdb.cn/chuqing/00040g1.png']
Cu(bdc)(dabco)1/2,Cu(bdc)(dabco)1/2,"Porous material, physical forces, single-crystal","Tetragonal a = 15.118(6) ?, alpha = 90 deg. b = 15.118(6) ?, beta = 90 deg. c = 19.274(5) ?, gamma = 90 deg.","1. Adv. Funct. Mater. 2007, 17, 1255-1262.","77K, 1 atm: 1.8%",1.8,Solvothermal method,['http://www.hydrsm.csdb.cn/chuqing/00038g1.png']
"Cu(fma)(4,4'-bpe)1/2","Cu(fma)(4,4'-bpe)1/2","Porous material, physical forces, single-crystal","Monoclinic, (C2/c) a = 16.360 (3) ?, alpha = 90 deg. b = 10.753 (2) ?, beta = 105.302 (11) deg. c = 13.595 (2) ?, gamma = 90 deg.","1. Inorg. Chem. 2007, 46, 1233-1236.","77K, 1 atm: 1.34%; 77K, 20 bar: 1.91%",1.91,Solvothermal,['http://www.hydrsm.csdb.cn/chuqing/00041g1.png']
Cu(bdt),Cu(bdt),"Porous material, physical forces, single-crystal","Orthorhombic, (Imma) a = 22.340(4)?, alpha = 90 deg. b = 7.079(1)?, beta = 90 deg. c = 13.644(3)?, gamma = 90 deg.","1. J. Am. Chem. Soc. 2006, 128, 8904-8913","77K, 1.17 bar: 0.66%",0.66,Solution ????,['http://www.hydrsm.csdb.cn/chuqing/00039g1.png']
Cu(4-pymo)2.nH2O,Cu(4-pymo)2.nH2O,"Porous material, physical forces, single-crystal","Cubic (Pn-3m) a = 15.7540(4) ?, alpha = 90 deg. b = 15.7540(4) ?, beta = 90 deg. c = 15.7540(4) ?, gamma = 90 deg.","1. Inorg. Chem. 2006, 45, 2397-2399. 2. Polyhedron 2003, 22, 3051-3057","77K, 1.2 bar: 0.03%",0.03,????,['http://www.hydrsm.csdb.cn/chuqing/00037g1.png']
Cu(2-pymo)2(NH4NO3.2H2O)1/3,Cu(2-pymo)2(NH4NO3.2H2O)1/3,"Porous material, physical forces, single-crystal","Cubic, (Pn-3m) a = 15.67(5) ?, alpha = 90 deg. b = 15.67(5) ?, beta = 90 deg. c = 15.67(4) ?, gamma = 90 deg.","1. Inorg. Chem. 2006, 45, 2397-2399. 2. J. Am. Chem. Soc. 2004, 126, 3014-3015.","77K, 1.2 bar: 0.86%",0.86,????,['http://www.hydrsm.csdb.cn/chuqing/00034g1.png']
Cu(2-pymo)2(Rb(H2O)NO3)1/2,Cu(2-pymo)2(Rb(H2O)NO3)1/2,"Porous material, physical forces, single-crystal","Orthorhombic, (Pna21) a = 18.78(2)?, alpha = 90 deg. b = 11.02(1)?, beta = 90 deg. c = 11.45(1)?, gamma = 90 deg.","1. Inorg. Chem. 2006, 45, 2397-2399. 2. J. Am. Chem. Soc. 2004, 126, 3014-3015.","77K, 1.2 bar: 0.86%",0.86,????,['http://www.hydrsm.csdb.cn/chuqing/00035g1.png']
Cu(4-pymo)2(NH3)2(H2O)2,Cu(4-pymo)2(NH3)2(H2O)2,"Porous material, physical forces, single-crystal","Monoclinic, (P21/c) a = 7.189(1)?, alpha = 90 deg. b = 13.833(2)?, beta = 116.225(9) deg. c = 6.954(1)?, gamma = 90 deg.","1. Inorg. Chem. 2006, 45, 2397-2399. 2. Polyhedron 2003, 22, 3051-3057","77K, 1.2 bar: 0.03%",0.03,????,['http://www.hydrsm.csdb.cn/chuqing/00036g1.png']
Zn4O(C14H8O4)3,IRMOF-9,"Porous material, physical forces, single-crystal","Orthorhombic (Pnnm) a = 17.147 (1) ?, alpha = 90 deg. b = 23.322(1) ?, beta = 90 deg. c = 25.255(1) ?, gamma = 90 deg. 厖","1. Science 2002, 295, 469-472; 2. J. Am. Chem. Soc. 2006, 128, 1304-1315. 3. Energy Environ. Sci., 2008, 1, 222-235.","77 K, 1 atm: 1.17wt%;",1.17,Solvothermal method,['http://www.hydrsm.csdb.cn/chuqing/00009g1.png']
Zn4O(C14H8O4)3,IRMOF-10,"Porous material, physical forces, single-crystal","Cubic (Fm-3m) a = 34.281 (2) ?, alpha = 90 deg. b = 34.281(2) ?, beta = 90 deg. c = 34.281(2) ?, gamma = 90 deg. 厖","1. Science 2002, 295, 469-472;",,,Solvothermal method,['http://www.hydrsm.csdb.cn/chuqing/00010g1.png']
"Zn3(bpdc)3(4,4-bipy)","Zn3(bpdc)3(4,4-bipy)","Porous material, physical forces, single-crystal","Monoclinic, (P21/n ) a=14.608(3) ?, alpha = 90 deg. b=18.041(4) ?, beta = 90.005(1) deg. c= 24.803(5) ?, gamma = 90 deg.","1. Adv. Mater. 2005, 17, 2703-2706.","77K, 1 atm: 1.74%",1.74,Solvothermal method,['http://www.hydrsm.csdb.cn/chuqing/00032g1.png']
Co3(D2-Htcppda)2,Co3(D2-Htcppda)2,"Porous material, physical forces, single-crystal","Triclinic, (P-1) a = 13.703(3) ?, alpha = 105.069(4) deg. b = 14.120(3) ?, beta = 103.355(4) deg. c = 15.810(4) ?, gamma = 109.052(5) deg.","1. Chem. Eur. J. 2006, 12, 3774 3768-3776.",,,Solvothermal method,['http://www.hydrsm.csdb.cn/chuqing/00033g1.png']
"Co3(bpdc)3(4,4-bipy)","Co3(bpdc)3(4,4-bipy)","Porous material, physical forces, single-crystal",,"1. Adv. Mater. 2005, 17, 2703-2706.","77K, 1 atm: 1.98%",1.98,Solvothermal method,['http://www.hydrsm.csdb.cn/chuqing/00031g1.png']
Zn4O(C10H6O4)3,IRMOF-6,"Porous material, physical forces, single-crystal","Cubic (Fm-3m) a = 25.842 (2) ?, alpha = 90 deg. b = 25.842 (2) ?, beta = 90 deg. c = 25.842 (2) ?, gamma = 90 deg. 厖","1. Science 2002, 295, 469-472; 2. J. Am. Chem. Soc. 2006, 128, 1304-1315. 3. Energy Environ. Sci., 2008, 1, 222-235.","77 K, 32 bar: 4.9wt%; 77 K, 1 atm: 1.48wt%;",4.9,Solvothermal method,['http://www.hydrsm.csdb.cn/chuqing/00006g1.png']
Zn4O(C12H6O4)3,IRMOF-7,"Porous material, physical forces, single-crystal","Cubic (Pm-3m) a = 12.914 (3) ?, alpha = 90 deg. b = 12.914 (3) ?, beta = 90 deg. c = 12.914 (3) ?, gamma = 90 deg. 厖","1. Science 2002, 295, 469-472;",,,Solvothermal method,['http://www.hydrsm.csdb.cn/chuqing/00007g1.png']
Zn4O(C12H6O4)3,IRMOF-8,"Porous material, physical forces, single-crystal","Cubic (Fm-3m) a = 30.092 (2) ?, alpha = 90 deg. b = 30.092 (2) ?, beta = 90 deg. c = 30.092 (2) ?, gamma = 90 deg. 厖","1. Science 2002, 295, 469-472. 2. J. Am. Chem. Soc. 2004, 126, 5666-5667. 3. Energy Environ. Sci., 2008, 1, 222-235. 4. J. Phys. Chem. B, 2006, 110, 1099-1101.","77 K, 15 bar: 3.6wt%; 77 K, 1 atm: 1.5wt%; 298K, 30 bar: 0.4wt%.",3.6,Solvothermal method,['http://www.hydrsm.csdb.cn/chuqing/00008g1.png']
Zn4O(C14H14O6)3,IRMOF-4,"Porous material, physical forces, single-crystal","Cubic (Fm-3m) a = 25.849 (1) ?, alpha = 90 deg. b = 25.849 (1) ?, beta = 90 deg. c = 25.849 (1) ?, gamma = 90 deg. 厖","1. Science 2002, 295, 469-472;",,,Solvothermal method,['http://www.hydrsm.csdb.cn/chuqing/00004g1.png']
Zn4O(C8H5NO4)3,IRMOF-3,"Porous material, physical forces, single-crystal","Cubic (Fm-3m) a = 25.747 (1) ?, alpha = 90 deg. b = 25.747 (1) ?, beta = 90 deg. c = 25.747 (1) ?, gamma = 90 deg. 厖","1. Science 2002, 295, 469-472; 2. J. Am. Chem. Soc. 2006, 128, 1304-1315. 3. Energy Environ. Sci., 2008, 1, 222-235.","77 K, 1 atm: 1.42wt%;",1.42,Solvothermal method,['http://www.hydrsm.csdb.cn/chuqing/00003g1.png']
Zn4O(C8H3BrO4)3,IRMOF-2,"Porous material, physical forces, single-crystal","Cubic (Fm-3m) a = 25.772 (1) ?, alpha = 90 deg. b = 25.772 (1) ?, beta = 90 deg. c = 25.772 (1) ?, gamma = 90 deg. 厖","1. Science 2002, 295, 469-472; 2. J. Am. Chem. Soc. 2006, 128, 1304-1315. 3. Energy Environ. Sci., 2008, 1, 222-235.","77 K, 1 atm: 1.21wt%;",1.21,Solvothermal method,['http://www.hydrsm.csdb.cn/chuqing/00002g1.png']
Zn4O(C8H4O4)3.(C3H7NO)8(C6H5Cl),MOF-5orIRMOF-1,"Porous material, physical forces, single-crystal","Cubic (Fm-3m) a = 25.6690 (3) ?, alpha = 90 deg. b = 25.6690 (3) ?, beta = 90 deg. c = 25.6690 (3) ?, gamma = 90 deg. 厖","1. Nature 1999, 402 (6759), 276-279. 2. Science 2003, 300 (5622), 1127-1129. 厖","78 K, 1 bar: 4.5wt%; RT, 20 bar: 1.0wt%; 厖.",4.5,Solvent diffusion,['http://www.hydrsm.csdb.cn/chuqing/00001g1.png']
Zn4O(C18H24O6)3,IRMOF-5,"Porous material, physical forces, single-crystal","Cubic (Pm-3m) a = 12.882 (1) ?, alpha = 90 deg. b = 12.882 (1) ?, beta = 90 deg. c = 12.882 (1) ?, gamma = 90 deg. 厖","1. Science 2002, 295, 469-472;",,,Solvothermal method,['http://www.hydrsm.csdb.cn/chuqing/00005g1.png']
Co3(ndc)3(dabco),Co3(ndc)3(dabco),"Porous material, physical forces, single-crystal","Monoclinic (C2/c) a = 20.136 (4) ?, alpha = 90 deg. b = 21.190 (4) ?, beta = 93.78(3) deg. c = 17.292 (4) ?, gamma = 90 deg.","1. Inorg. Chem. 2008, 47, 5355-5359.","77K, 1 atm: 2.45%; 77K, 40 bar: 4.2%; 298K, 17.2 bar: 0.89%.",4.2,Solvothermal method,"['http://www.hydrsm.csdb.cn/chuqing/00030g1.png', 'http://www.hydrsm.csdb.cn/chuqing/00030g2.png', 'http://www.hydrsm.csdb.cn/chuqing/00030g3.png']"
Co(pyz)[Pd(CN)4],Co(pyz)[Pd(CN)4],"Porous material, physical forces, single-crystal",,"1. J. Phys. Chem. C 2008, 112, 7079-7083.",,,Solvothermal method,['http://www.hydrsm.csdb.cn/chuqing/00028g1.png']
Co3(bdc)3(dabco),Co3(bdc)3(dabco),"Porous material, physical forces, single-crystal","a = 31.717(3) ?, alpha = 90 deg. b = 9.4333(9) ?, beta = 119.894(2) deg. c = 18.1739(18) ?, gamma = 90 deg.","1. Inorg. Chem. 2008, 47, 5355-5359.","77K, 1 atm: 1%",1,Solvothermal method,"['http://www.hydrsm.csdb.cn/chuqing/00029g1.png', 'http://www.hydrsm.csdb.cn/chuqing/00029g2.png', 'http://www.hydrsm.csdb.cn/chuqing/00029g3.png', 'http://www.hydrsm.csdb.cn/chuqing/00029g4.png']"
C51H26Cu2F18O12,Cu(hfipbb)(H2hfipbb)0.5,"Porous material, physical forces, single-crystal","Monoclinic, (P2/n) a = 18.723(4) ?, alpha = 90 deg. b = 7.271(1) ?, beta = 107.02 deg. c = 20.481(4) ?, gamma = 90 deg.","1. J. Solid State Chem., 2005, 178, 2527-2532, 2. J. Am. Chem. Soc. 2004, 126, 1308-1309.","77K, 1 atm: 0.23% 298K, 48 bar: 1.0%",1,Hydrothermal method,['http://www.hydrsm.csdb.cn/chuqing/00026g1.png']
Co(pyz)[Ni(CN)4],Co(pyz)[Ni(CN)4],"Porous material, physical forces, single-crystal",,"1. J. Phys. Chem. C 2008, 112, 7079-7083.",,,Solvothermal method,['http://www.hydrsm.csdb.cn/chuqing/00027g1.png']
"Co(2,6-ndc)(4,4'-bipy)0.5","Co(2,6-ndc)(4,4'-bipy)0.5","Porous material, physical forces, single-crystal","Triclinic, (P-1) a = 12.939(5) ?, alpha = 85.449 (11) deg. b = 13.092 (5) ?, beta = 70.302 (12) deg. c = 13.754(4) ?, gamma = 83.731 (10) deg.","1. Inorg. Chem. 2007, 46, 8705-8709.","77K, 1 atm: 0.72%",0.72,Solvothermal method,['http://www.hydrsm.csdb.cn/chuqing/00023g1.png']
"Ni(C2O4)(4,4'-bipy)","Ni(ox)(4,4'-bipy)","Porous material, physical forces, single-crystal",,"1. J. Solid State Chem., 2005, 178, 2527�2532","77K, 1 atm: 0.16%",0.16,Hydrothermal method,['http://www.hydrsm.csdb.cn/chuqing/00025g1.png']
"Co(C2O4)(4,4'-bipy)","Co(ox)(4,4'-bipy)","Porous material, physical forces, single-crystal",,"1. J. Solid State Chem., 2005, 178, 2527�2532","77K, 1 atm: 0.1%",0.1,Hydrothermal method,['http://www.hydrsm.csdb.cn/chuqing/00024g1.png']
Co(bdp).2DEF.H2O,Co(bdp),"Porous material, physical forces, single-crystal","Orthorhombic, (P222(1)) a = 13.253(2) ?, alpha = 90 deg. b = 13.253(0) ?, beta = 90 deg. c = 13.995(2) ?, gamma = 90 deg.","1. J. Am. Chem. Soc. 2008, 130, 7848�7850.","77K, 30 bar: 3.1%",3.1,Solvothermal method,['http://www.hydrsm.csdb.cn/chuqing/00022g1.png']
Cr3O(H2O)2F{C10H4-(CO2)4}1.5.6H2O,MIL-102,"Porous material, physical forces, single-crystal","Hexagonal, (P-6) a = 12.632(1) ?, alpha = 90 deg. b = 12.632(1) ?, beta = 90 deg. c = 9.622(1) ?, gamma = 120 deg.","1. J. Am. Chem. Soc. 2006, 128, 14889-14896.","77K, 35 bar: 1.0% 298K, 35 bar: 0.05%.",1,Hydrothermal,"['http://www.hydrsm.csdb.cn/chuqing/00080g1.png', 'http://www.hydrsm.csdb.cn/chuqing/00080g2.png']"
Zn2(C16H6O8),MOF-505,"Porous material, physical forces, single-crystal","Rhombohedral (R-3m) a = 18.4826(8) ?, alpha = 90 deg. b = 18.4826(8) ?, beta = 90 deg. c = 24.713(2) ?, gamma = 120 deg.","1. Angew. Chem. Int. Ed. 2005, 44, 4745-4749. 2. Angew. Chem. Int. Ed. 2006, 45, 7358-7364.","77K, 1 atm: 2.59%? 77K, 20 bar: 4.02%",4.02,Solvothermal method,"['http://www.hydrsm.csdb.cn/chuqing/00021g1.png', 'http://www.hydrsm.csdb.cn/chuqing/00021g2.png']"
Cr3OF(bdc)3,MIL-101(Cr),"Porous material, physical forces, single-crystal","Cubic, (Fd-3m) a = 89 ?, alpha = 90 deg. b = 89 ?, beta = 90 deg. c = 89 ?, gamma = 90 deg.","1. Angew. Chem. Int. Ed. 2006, 45, 8227-8231. 2. Chem. Mater. 2005, 17, 6525-6527.","77K, 60 bar: 6.1% 298K, 80 bar: 0.43%.",6.1,Hydrothermal,['http://www.hydrsm.csdb.cn/chuqing/00079g1.png']
Cr3OF(bdc)3,MIL-100(Cr),"Porous material, physical forces, single-crystal","Cubic, (Fd-3m) a = 72.9 ?, alpha = 90 deg. b = 72.9 ?, beta = 90 deg. c = 72.9 ?, gamma = 90 deg.","1. Angew. Chem. Int. Ed. 2006, 45, 8227-8231. 2. Chem. Mater. 2005, 17, 6525-6527.","77K, 25 bar: 3.3% 298K, 73 bar: 0.15%.",3.3,Hydrothermal,['http://www.hydrsm.csdb.cn/chuqing/00078g1.png']
Al(OH)(bdc),MIL-53(Al),"Porous material, physical forces, single-crystal",,"1. Chem. Commun., 2003, 2976-2977.",1 bar: 2.1%; 16 bar: 3.8%.,3.8,Solvothermal,[]
Al12O(OH)18(H2O)3(Al2(OH)4)[btc]6.24H2O,MIL-96,"Porous material, physical forces, single-crystal","Hexagonal, (P63/mmc) a = 14.2074(2) ?, alpha = 90 deg. b = 14.2074(2) ?, beta = 120 deg. c = 31.2302(9) ?, gamma = 90 deg.","1. J. Am. Chem. Soc. 2006, 128, 10223-10230.","298K, 50 bar: 0.63%.",0.63,Hydrothermal,['http://www.hydrsm.csdb.cn/chuqing/00077g1.png']
Cr(OH)(bdc),MIL-53(Cr),"Porous material, physical forces, single-crystal",,"1. Chem. Commun., 2003, 2976-2977.",1 bar: 1.8%; 16 bar: 3.2%.,3.2,,[]
[Mg3(O2CH)6?C6H6],[Mg3(O2CH)6?C6H6],"Porous material, physical forces, single-crystal","Monoclinic, (P21/c) a = 11.3762(10) ?, alpha = 90 deg. b = 9.9831(9) ?, beta = 91. 203(5) deg. c = 15.0358(13) ?, gamma = 90 deg.","1. Inorg. Chem. 2006, 45, 5521-5528.","77K, 1 bar: 0.6%.",0.6,Solvothermal,['http://www.hydrsm.csdb.cn/chuqing/00071g1.png']
Zn2(C8H2O6),MOF-74,"Porous material, physical forces, single-crystal",,"1. J. Am. Chem. Soc. 2006, 128, 1304-1315. 2. J. Am. Chem. Soc. 2006, 128, 3494-3495.","77K, 1 atm: 1.77%? 77K, 26 bar: 2.3%",2.3,Solvothermal method,['http://www.hydrsm.csdb.cn/chuqing/00020g1.png']
